"iid","nid","tid","parent_iid"
"509","83171","3484",NULL
"510","20522","155",NULL
"511","1365","2948",NULL
"512","4711","1468",NULL
"513","60482","757",NULL
"514","70292","3156",NULL
"515","1037","2332",NULL
"516","4777","620",NULL
"517","1446","1701",NULL
"518","562","3380",NULL
"519","873","1609",NULL
"520","495","1212",NULL
"521","2779","343",NULL
"522","1662","548",NULL
"523","108","963",NULL
"524","99","439",NULL
"525","43185","683",NULL
"526","1077","2346",NULL
"527","4632","1364",NULL
"528","4638","2719",NULL
"529","1540","2448",NULL
"530","472","948",NULL
"531","821","328",NULL
"532","1404","2",NULL
"533","1735","441",NULL
"534","102228","930",NULL
"535","3159","376",NULL
"536","1439","1292",NULL
"537","1545","2451",NULL
"538","57404","3362",NULL
"539","100172","3637",NULL
"540","70864","3341",NULL
"541","48275","3094",NULL
"542","2309","442",NULL
"543","1055","2330",NULL
"544","1764","1778",NULL
"545","1006","1997",NULL
"546","97317","3568",NULL
"547","66325","1242",NULL
"548","364","276",NULL
"549","936","1094",NULL
"550","922","1095",NULL
"551","781","1675",NULL
"552","70895","3174",NULL
"553","62885","3044",NULL
"554","948","1096",NULL
"555","1442","1685",NULL
"556","100380","3570",NULL
"557","473","949",NULL
"558","916","1097",NULL
"559","292","295",NULL
"560","300","294",NULL
"561","1685","1745",NULL
"562","118","443",NULL
"563","60641","3360",NULL
"564","1641","2967",NULL
"565","98121","3549",NULL
"566","485","960",NULL
"567","1207","1308",NULL
"568","1765","3196",NULL
"569","92852","3597",NULL
"570","60642","3213",NULL
"571","3214","358",NULL
"572","869","1612",NULL
"573","1627","1276",NULL
"574","260","978",NULL
"575","1075","2358",NULL
"576","273","444",NULL
"577","1205","157",NULL
"578","1642","1345",NULL
"579","3220","359",NULL
"580","306","1259",NULL
"581","60066","759",NULL
"582","41265","2606",NULL
"583","1411","3240",NULL
"584","1024","1385",NULL
"585","97533","3613",NULL
"586","98573","3567",NULL
"587","47343","21",NULL
"588","274","446",NULL
"589","70202","3665",NULL
"590","88854","2469",NULL
"591","114136","3620",NULL
"592","1751","2793",NULL
"593","415","830",NULL
"594","879","1387",NULL
"595","632","1003",NULL
"596","1506","3700",NULL
"597","4807","621",NULL
"598","475","950",NULL
"599","443","932",NULL
"600","1714","1755",NULL
"601","1477","600",NULL
"602","115","964",NULL
"603","41609","217",NULL
"604","58004","760",NULL
"605","416","831",NULL
"606","45904","216",NULL
"607","190","449",NULL
"608","921","1098",NULL
"609","100","450",NULL
"610","1392","38",NULL
"611","44612","3117",NULL
"612","982","1062",NULL
"613","1507","2440",NULL
"614","100733","3287",NULL
"615","1014","1121",NULL
"616","858","1619",NULL
"617","650","882",NULL
"618","43687","2939",NULL
"619","94999","1153",NULL
"620","98128","3607",NULL
"621","563","1390",NULL
"622","327","259",NULL
"623","3154","377",NULL
"624","1661","1438",NULL
"625","1206","3063",NULL
"626","1587","1277",NULL
"627","693","3505",NULL
"628","1643","3021",NULL
"629","44590","2307",NULL
"630","417","832",NULL
"631","1546","2452",NULL
"632","252","451",NULL
"633","1454","1717",NULL
"634","1376","25",NULL
"635","1510","1463",NULL
"636","996","329",NULL
"637","83388","3635",NULL
"638","4597","2557",NULL
"639","506","899",NULL
"640","1066","2364",NULL
"641","97835","3639",NULL
"642","782","1677",NULL
"643","4639","1357",NULL
"644","1569","2465",NULL
"645","1020","1393",NULL
"646","808","309",NULL
"647","73365","3372",NULL
"648","783","1678",NULL
"649","283","453",NULL
"650","168","455",NULL
"651","127","456",NULL
"652","101483","3395",NULL
"653","246","854",NULL
"654","278","457",NULL
"655","5489","2931",NULL
"656","803","316",NULL
"657","1117","2028",NULL
"658","41183","2899",NULL
"659","41606","2749",NULL
"660","4743","556",NULL
"661","1705","1753",NULL
"662","365","277",NULL
"663","619","1004",NULL
"664","3197","360",NULL
"665","57279","3383",NULL
"666","3234","2876",NULL
"667","465","951",NULL
"668","419","834",NULL
"669","47851","1702",NULL
"670","1677","1741",NULL
"671","2543","459",NULL
"672","989","1129",NULL
"673","809","310",NULL
"674","1032","2354",NULL
"675","44074","1656",NULL
"676","810","311",NULL
"677","4809","623",NULL
"678","420","835",NULL
"679","4810","624",NULL
"680","99746","331",NULL
"681","1311","686",NULL
"682","308","1150",NULL
"683","4713","565",NULL
"684","5248","1348",NULL
"685","57217","764",NULL
"686","57464","765",NULL
"687","44594","2972",NULL
"688","987","1128",NULL
"689","48340","2381",NULL
"690","41294","220",NULL
"691","44053","3389",NULL
"692","1005","2014",NULL
"693","657","3426",NULL
"694","129","461",NULL
"695","1304","1298",NULL
"696","69942","3286",NULL
"697","5459","2496",NULL
"698","310","1178",NULL
"699","41097","3338",NULL
"700","385","980",NULL
"701","330","278",NULL
"702","60806","2869",NULL
"703","758","1641",NULL
"704","579","1394",NULL
"705","1501","2434",NULL
"706","116","965",NULL
"707","822","332",NULL
"708","4744","3344",NULL
"709","70893","3183",NULL
"710","4706","566",NULL
"711","4661","2724",NULL
"712","598","1395",NULL
"713","552","2308",NULL
"714","100246","164",NULL
"715","1164","165",NULL
"716","1039","2359",NULL
"717","57653","767",NULL
"718","185","465",NULL
"719","57273","768",NULL
"720","1279","689",NULL
"721","1190","166",NULL
"722","4727","584",NULL
