"id_discipline","id_dep","discipline"
"6797","4087778","Групповые методы принятия управленческих решений"
"10698","4204","Группы и алгебры Ли"
"8063","4301","Д/по выб:Внешняя политика США"
"7582","4301","Д/по выб:Военная история Запада 19-20 вв."
"7471","4301","Д/по выб:Глобальные конфликты и мировые войны"
"7609","4301","Д/по выб:Источниковедение всеобщей истории"
"7758","4301","Д/по выб:Источноковедение отечественной истории"
"7856","4301","Д/по выб:Конфликтология"
"7979","4301","Д/по выб:Ландшафтный дизайн"
"7854","4301","Д/по выб:Международ. интеграция и международные организации"
"7697","4301","Д/по выб:Международные отношения на Кавказе"
"7868","4301","Д/по выб:Международные экономические отношения"
"7542","4301","Д/по выб:Мерчандайзинг"
"7837","4301","Д/по выб:Российско-китайские отношения"
"8093","4301","Д/по выб:Россия (СССР) в войнах и конфликтах 20 в."
"7619","4301","Д/по выб:Россия(СССР)в войнах и военн.конфликтах XX-XXI вв."
"7545","4301","Д/по выб:Центральная Азия в системе межд. отношений"
"1835","3952","Датчики внешних воздействий"
"6303","4047","Деловое общение"
"9435","4087768","Деловой английский язык"
"3969","4087768","Деловой иностранный"
"3939","4087768","Деловой иностранный язык"
"6770","4087778","Деловые коммуникации"
"6305","4047","Демография"
"9478","4265","День самостоятельной работы"
"1267","4087764","Детали машин"
"2911","4087774","Детская литература"
"6166","4087765","Детская психология"
"3081","4087769","Детские и молодежные театры"
"6900","4087778","Дефектология"
"3968","4087768","Диалектология"
"7248","4349","Динамическая метеорология"
"5179","3879","Динамические системы"
"2345","3935","Динамический хаос"
"2488","3935","Динамическое моделирование и диагностика"
"8101","4301","Дипломатическая и консульская служба"
"6306","4047","Дискретная математика"
"10676","4204","Дискретная математика и математическая логика"
"11001","4204","Дифференциальная геометрия и топология"
"6071","4087765","Дифференциальная психология"
"5266","3879","Дифференциальные и интегральные уравнения"
"11098","4204","Дифференциальные операторы с нерегулярными краевыми условиям"
"8302","3964","Дифференциальные уравнения"
"9726","4087776","Дифференцированная психология"
"7704","4301","Документационное обеспечение в сервисе"
"2109","4087763","Документационное обеспечение управления"
"7260","4349","Долгосрочные прогнозы погоды"
"10905","4204","Дополнительное математическое образование школьников"
"7158","4349","Дополнительные вопросы метеорологии"
"5513","3879","Дополнительные главы теории волновых процессов"
"10655","4204","Дополнительные главы теории функций комплексного переменного"
"9727","4087776","Дошкольная педагогика"
"7285","3920","Древнегреческий язык"
"3820","4265","Древнерусский язык"
"3858","4265","Древние языки"
"3695","4265","Европейский язык"
